folder_name,noise_level,nlm_h,nlm_tws,nlm_sws,gb_kernel,clahe_cl,clahe_tgs,thresh_bs,thresh_c,morphx_kernel,kernel_open,kernel_close
PL,33.231025854879064,19,29,42,"(3,3)",2.2,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
HU,31.57549688893367,16,29,42,"(3,3)",2.3,"(20,20)",77,11.1,"(2,2)","(2,2)","(5,5)"
PL,33.85396118358256,16,29,42,"(3,3)",2.2,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
HU,31.962894137393597,19,29,42,"(3,3)",2.3,"(20,20)",77,11.1,"(2,2)","(2,2)","(5,5)"
HU,33.58520721743638,25,29,42,"(3,3)",2.3,"(20,20)",77,11.1,"(2,2)","(2,2)","(5,5)"
PL,35.61895802039687,11,31,40,"(3,3)",2.2,"(20,19)",33,20.1,"(2,2)","(2,2)","(5,5)"
PL,34.030689846337545,15,30,42,"(3,3)",2.9,"(25,25)",43,12.9,"(2,2)","(2,2)","(6,6)"
PL,32.03893593181735,19,30,44,"(3,3)",3.5,"(25,25)",43,12.9,"(2,2)","(2,2)","(6,6)"
PL,31.523588337344005,14,29,42,"(3,3)",2.5,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
PL,35.305595745512846,20,31,47,"(3,3)",2.9,"(25,25)",43,12.9,"(2,2)","(2,2)","(6,6)"
HU,35.13763034568627,29,29,42,"(3,3)",2.3,"(20,20)",41,9.1,"(2,2)","(2,2)","(5,5)"
PL,34.91883915395967,21,30,44,"(3,3)",2.9,"(25,25)",43,12.9,"(2,2)","(2,2)","(6,6)"
PL,32.42559999444128,18,30,44,"(3,3)",2.9,"(25,25)",43,12.9,"(2,2)","(2,2)","(6,6)"
PL,33.54111405835544,22,30,44,"(3,3)",2.9,"(25,25)",43,12.9,"(2,2)","(2,2)","(6,6)"
PL,31.583266152251525,22,30,44,"(3,3)",2.9,"(25,25)",43,12.9,"(2,2)","(2,2)","(6,6)"
